dia,pvs_totales,pvs_totales_usa,pvs_totales_mexico,pvs_ole_usa,pvs_ole_no_usa,notas_unicas,notas_unicas_usa,porc_notas_unicas_usa,browsers_unicos,browsers_unicos_arg,browsers_unicos_mex,browsers_unicos_usa,browsers_unicos_otros
2024-01-29 00:00:00,108506,87897,20609,0,108506,2069,0,0,39366,1500,7480,29674,712
2024-01-30 00:00:00,98684,81095,17589,3,98681,2100,1,0,32190,1423,5337,24804,626
2024-01-31 00:00:00,93924,75692,18232,0,93924,2076,0,0,28015,1398,5580,20442,595
2024-02-01 00:00:00,95660,75962,19698,1306,94354,1982,2,0,29131,1403,6773,20424,531
2024-02-02 00:00:00,85789,69953,15836,801,84988,1900,1,0,29789,1337,5564,22344,544
2024-02-03 00:00:00,75716,60309,15407,348,75368,2003,3,0,27710,1230,6118,19795,567
2024-02-04 00:00:00,97819,80080,17739,97,97722,2217,3,0,33480,1506,6147,25139,688
2024-02-05 00:00:00,109568,90234,19334,67,109501,2230,2,0,34796,1602,6338,26168,688
2024-02-06 00:00:00,87995,69973,18022,38,87957,2044,4,0,30042,1354,6586,21523,579
2024-02-07 00:00:00,88411,70682,17729,11,88400,1972,2,0,27929,1301,5548,20499,581
2024-02-08 00:00:00,105671,83159,22512,8,105663,1927,1,0,32464,1468,7788,22591,617
2024-02-09 00:00:00,87156,68499,18657,1,87155,1834,1,0,27411,1317,6513,19104,477
2024-02-10 00:00:00,82701,66847,15854,4,82697,1923,2,0,28368,1364,5774,20693,537
2024-02-11 00:00:00,140467,109447,31020,3,140464,2036,2,0,55095,1834,14794,37507,960
2024-02-12 00:00:00,103588,79328,24260,0,103588,1912,0,0,34223,1422,9667,22507,627
2024-02-13 00:00:00,86044,67728,18316,2,86042,2011,2,0,24351,1258,5409,17194,490
2024-02-14 00:00:00,92421,72364,20057,1,92420,1837,1,0,26920,1480,6733,18158,549
2024-02-15 00:00:00,90530,72649,17881,0,90530,1828,0,0,25363,1437,5034,18357,535
2024-02-16 00:00:00,81594,65541,16053,1,81593,1898,1,0,23552,1279,4999,16786,488
2024-02-17 00:00:00,81238,64942,16296,0,81238,1994,0,0,25957,1261,6059,18145,492
2024-02-18 00:00:00,98956,79728,19228,1,98955,2180,1,0,27713,1523,5769,19846,575
2024-02-19 00:00:00,85394,69454,15940,4,85390,2019,2,0,24961,1389,4543,18455,574
2024-02-20 00:00:00,79476,62766,16710,3,79473,2056,1,0,23515,1139,5536,16375,465
2024-02-21 00:00:00,77610,63136,14474,2,77608,2010,2,0,23424,1196,4690,17085,453
2024-02-22 00:00:00,83515,66856,16659,2,83513,2145,2,0,26351,1183,5404,19270,494
2024-02-23 00:00:00,71531,57356,14175,2,71529,1990,1,0,22094,1057,4158,16374,505
2024-02-24 00:00:00,88927,72064,16863,1,88926,2135,1,0,28134,1348,5287,20828,671
2024-02-25 00:00:00,125406,102769,22637,0,125406,2596,0,0,40286,1716,7147,30544,879
2024-02-26 00:00:00,102141,79284,22857,18,102123,2173,2,0,33022,1294,10001,21120,607
